,Name,Rating,Address, ,Rating,Phone Number,, ,,,, ,
,Quail Animal Hospital,5,6765 Quail Hill Pkwy Irvine,, CA 92603,19493870338,,,,,,,
,South Orange County Animal Hospital,4.5,24801 Raton Dr Lake Forest,, CA 92630,19493136331,,,,,,,
,Newport Animal Hospital,4.5,21157 Newport Coast Dr Newport Coast,, CA 92657,19497068380,,,,,,,
,Niguel Animal Care Center,4.5,27821 La Paz Rd Laguna Niguel,, CA 92677,19499167387,,,,,,,
,PetPoint Medical Center & Resort,5,2505 Da Vinci Irvine,, CA 92614,19495225700,,,,,,,
,Aliso Viejo Animal Hospital,4.5,23411 Aliso Viejo Pkwy Ste A Aliso Viejo,, CA 92656,19494267700,,,,,,,
,Irvine Boulevard Animal Hospital,4.5,4840 Irvine Blvd Ste 108 Irvine,, CA 92620,17148383433,,,,,,,
,Irvine Great Park Animal Hospital,4.5,6336 Irvine Blvd Irvine,, CA 92620,19495527878,,,,,,,
,Irvine Valley Veterinary Hospital,4,14980 Sand Canyon Ave Irvine,, CA 92618,19495525200,,,,,,,
,VCA Arroyo Animal Hospital,4.5,1 S Pointe Dr Lake Forest,, CA 92630,19497701808,,,,,,,
,Healthier Pet Veterinary Care,5,2781 W MacArthur Blvd Ste G3 Santa Ana,, CA 92704,16579002263,,,,,,,
,Valley View Animal Hospital,5,7921 Valley View St La Palma,, CA 90623,15625516952,,,,,,,
,Alton Main Animal Hospital,5,3105 S Main St Santa Ana,, CA 92707,17145403105,,,,,,,
,Oso Pet Care Center,5,26852 Oso Pkwy Mission Viejo,, CA 92691,19492722233,,,,,,,
,Rancho Niguel Animal Hospital,4.5,27981 Greenfield Dr Ste B Laguna Niguel,, CA 92677,19492735010,,,,,,,
,Stonecreek Animal Hospital,4.5,4178 Barranca Pkwy Irvine,, CA 92604,19497261800,,,,,,,
,OC Veterinary Medical Center,4.5,200 S Tustin St Ste B Orange,, CA 92866,17146333323,,,,,,,
,Laguna Hills Animal Hospital,4.5,24271 El Toro Rd Laguna Hills,, CA 92637,19498377333,,,,,,,
